old_fqcn,new_fqcn
Ecotone\Sqs\Configuration\SqsMessagePublisherConfiguration,Ecotone\Api\Sqs\SqsMessagePublisherConfiguration
Ecotone\Modelling\CommandBus,Ecotone\Api\Gateway\CommandBus
Ecotone\Modelling\QueryBus,Ecotone\Api\Gateway\QueryBus
Ecotone\Modelling\EventBus,Ecotone\Api\Gateway\EventBus
Ecotone\Modelling\DistributedBus,Ecotone\Api\Gateway\DistributedBus
Ecotone\Messaging\MessagePublisher,Ecotone\Api\Gateway\MessagePublisher
Ecotone\Messaging\Gateway\SerializerGateway,Ecotone\Api\Gateway\SerializerGateway
Ecotone\Messaging\Scheduling\EcotoneClockInterface,Ecotone\Api\Gateway\EcotoneClockInterface
Ecotone\Projecting\ProjectingManager,Ecotone\Api\Projecting\ProjectingManager
Ecotone\Projecting\ProjectionRegistry,Ecotone\Api\Projecting\ProjectionRegistry
Ecotone\Messaging\Store\Document\DocumentStore,Ecotone\Api\Gateway\DocumentStore
Ecotone\Dbal\Recoverability\DeadLetterGateway,Ecotone\Api\Dbal\Gateway\DeadLetterGateway
Ecotone\Dbal\Database\DatabaseSetupManager,Ecotone\Api\Dbal\ExtensionObject\DatabaseSetupManager
Ecotone\Modelling\Api\Distribution\DistributedServiceMap,Ecotone\Api\ExtensionObject\DistributedServiceMap
Ecotone\Modelling\Api\Distribution\DistributedBusHeader,Ecotone\Api\Gateway\DistributedBusHeader
Ecotone\Kafka\Api\KafkaHeader,Ecotone\Api\Kafka\KafkaHeader
Ecotone\EventSourcing\Config\ProophProjectingModule,Ecotone\EventSourcing\Config\EventSourcingProjectingModule
